name,phone_number,location,operating_hours,website,facebook,instagram,icon
Aljunied - Hougang,67441033,Blk 810 Hougang Central #02-214 Singapore 530810,Mon-Fri: 8am-5pm | Sat: 8am-1pm,https://www.ahtc.sg/,https://www.facebook.com/aljuniedcommunity/,,aljunied.png
Bishan - Toa Payoh,72373,Blk 197 Bishan Street 13 #01-585 Singapore 570197,Mon-Fri: 8am-5.30pm | Sat: 8am-12pm,https://www.btptc.org.sg/,https://www.facebook.com/BishanToaPayoh/,,bishan.png
Choa Chu Kang,65690388,Blk 309 Choa Chu Kang Ave 4 #02-02 Choa Chu Kang Centre Singapore 680309,Mon-Fri: 8am-5pm | Sat: 8am-12.30pm,https://www.ccktc.org.sg/,https://www.facebook.com/cckgrcpage/,,cck.png
East Coast,64449549,206 Bedok North Street 1 Singapore 460206,Mon-Fri: 8am-5pm,https://ectc.org.sg/,https://www.facebook.com/EastCoastTC/,,eastcoast.png
Holland - Bukit Panjang,18007669100,256 Bangkit Road Singapore 670256,Mon-Fri: 8am-5pm | Sat: 8am-1pm,https://www.hbptc.org.sg/,https://www.facebook.com/holland.bukit.timah/,,holland.png
Jalan Besar,62989222,Block 70 Geyland Bahru #01-2719 Singapore 330070,Mon-Fri: 8am-5pm | Sat: 8am-1pm,https://www.jbtc.org.sg/,https://www.facebook.com/JalanBesarTownCouncil/,,jalanbesar.png
Jurong - Clementi,65612222,Jurong East Street 24 #01-303 Block 255 Singapore 600255,Mon-Fri: 8am-5.30pm | Sat: 8am-1pm,https://www.jrtc.org.sg/,https://www.facebook.com/JurongClementiTC/,https://www.instagram.com/jurongclementitc/,jurongclementi.png
Marine Parade,62820551,266 Serangoon Central Drive Singapore 550266,Mon-Fri: 8am-5pm,http://mptc.org.sg/,https://www.facebook.com/marineparadetc/,https://www.instagram.com/marineparadetc/,marinep.png
Marsiling - Yew Tee,64307800,306A Woodlands Street 31 #02-00 Singapore 731306,Mon-Fri: 8am-4.30pm,https://www.myttc.org.sg/,https://www.facebook.com/marsilingyewteetc/,https://www.instagram.com/myt_grc/,marsiling_yt.png
Nee Soon,67580129,290 Yishun Street 22 Singapore 760290,Mon-Fri: 8am-5pm | Sat: 8am-1pm,https://www.nstc.org.sg/,https://www.facebook.com/neesoon.tc/,https://www.instagram.com/neesoontc/,neesoon.png
Pasir Ris - Punggol,65854938,Block 577 Pasir Ris Street 53 #01-88 Singapore 510577,Mon-Fri: 8am-5pm | Sat: 8am-1pm,https://www.prpg-tc.org.sg/,https://www.facebook.com/prpg.tc/,,pasir_ris_punggol.png
Sembawang,63683100,504C Canberra Link #01-63 Singapore 753504,Mon-Fri: 8am-5pm | Sat: 8am-1pm,https://www.sbtc.org.sg/,https://www.facebook.com/sayangsembawang/,https://www.instagram.com/sayangsembawang/,sembawang.png
Sengkang,64890520,266 Compassvale Bow #01-06 Singapore 540266,Mon-Fri: 8am-5pm | Sat: 8am-1pm,https://sktc.sg/,https://www.facebook.com/WPSengkang/,,sengkang.png
Tampines,67812222,136 Tampines Street 11 Singapore 521136,Mon-Fri: 8am-4.30pm,https://www.tampines.org.sg/,https://www.facebook.com/tampinestowncouncil/,,tampines.png
Tanjong Pagar,18002726415,Bukit Merah Central #03-3527 Block 166 Singapore 150166,Mon-Fri: 8am-5pm,https://www.tptc.org.sg/www/,https://www.facebook.com/tptckakis/,https://www.instagram.com/tptckakis/,tanjong_pagar.png
West Coast,68964890,Jurong West Street 51 Block 509 #01-159 Singapore 640509,Mon-Fri: 8am-5pm | Sat: 8am-1pm,https://wctc.org.sg/,https://www.facebook.com/wcgrc/,,westcoast.png
Ang Mo Kio,64530511,Blk 342 Ang Mo Kio Ave 1 #01-1561 Singapore 560342,Mon-Fri: 8am-5pm | Sat: 8.30am-1pm,https://www.amktc.org.sg/,https://www.facebook.com/amktc/,https://www.instagram.com/amktowncouncil/,amk.png
